job_id,resume_id,relevance,source
vanetik_vacancy_004,vanetik_cv_016,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_016,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_017,0,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_017,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_017,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_017,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_017,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_018,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_018,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_018,0,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_018,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_018,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_019,0,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_019,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_019,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_019,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_019,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_020,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_020,0,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_020,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_020,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_020,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_021,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_021,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_021,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_021,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_021,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_022,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_022,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_022,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_022,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_022,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_023,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_023,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_023,0,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_023,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_023,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_024,3,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_024,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_024,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_024,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_024,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_025,3,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_025,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_025,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_025,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_025,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_026,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_026,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_026,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_026,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_026,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_027,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_027,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_027,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_027,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_027,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_028,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_028,0,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_028,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_028,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_028,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_029,0,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_029,3,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_029,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_029,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_029,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_030,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_030,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_030,0,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_030,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_030,0,vacancy_resume_matching
